# Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-95.000	2.0262	0.46947	5.6224	6.2874	35.394	2852.8	0.00035053	0.58045	0.58977	3.4115	20.990	45.155	605.78	-0.057236	410.05	0.065842	18.920	0.052855	11.320	12.726	71.536	13.940	24.316	132.93	5.1066	14.636	0.0034910
-94.500	2.0760	0.48018	5.7507	6.4321	36.113	2849.3	0.00035096	0.60292	0.61249	3.5375	20.962	45.187	604.34	-0.056994	407.33	0.065652	19.348	0.051684	11.323	12.732	71.378	13.961	24.375	133.05	5.0728	14.675	0.0035028
-94.000	2.1268	0.49107	5.8805	6.5786	36.839	2845.8	0.00035139	0.62541	0.63522	3.6633	20.933	45.218	602.89	-0.056750	404.62	0.065461	19.784	0.050545	11.327	12.738	71.221	13.983	24.435	133.16	5.0394	14.714	0.0035146
-93.500	2.1786	0.50215	6.0119	6.7269	37.571	2842.3	0.00035182	0.64790	0.65797	3.7888	20.904	45.251	601.44	-0.056502	401.94	0.065271	20.228	0.049437	11.330	12.744	71.064	14.005	24.496	133.28	5.0064	14.753	0.0035265
-93.000	2.2312	0.51342	6.1448	6.8772	38.310	2838.8	0.00035226	0.67042	0.68074	3.9140	20.876	45.284	599.99	-0.056250	399.28	0.065080	20.678	0.048360	11.333	12.750	70.909	14.026	24.558	133.40	4.9737	14.792	0.0035384
-92.500	2.2848	0.52487	6.2794	7.0293	39.056	2835.3	0.00035269	0.69294	0.70352	4.0389	20.848	45.318	598.54	-0.055996	396.64	0.064890	21.137	0.047311	11.336	12.756	70.754	14.048	24.620	133.51	4.9413	14.832	0.0035504
-92.000	2.3394	0.53652	6.4155	7.1834	39.808	2831.8	0.00035313	0.71548	0.72633	4.1636	20.820	45.353	597.09	-0.055738	394.02	0.064699	21.602	0.046291	11.339	12.761	70.600	14.071	24.683	133.63	4.9092	14.871	0.0035624
-91.500	2.3950	0.54837	6.5532	7.3393	40.567	2828.3	0.00035357	0.73804	0.74915	4.2880	20.792	45.388	595.64	-0.055477	391.43	0.064508	22.076	0.045298	11.342	12.767	70.447	14.093	24.747	133.74	4.8775	14.911	0.0035744
-91.000	2.4516	0.56041	6.6925	7.4972	41.333	2824.8	0.00035401	0.76060	0.77200	4.4122	20.764	45.423	594.18	-0.055213	388.85	0.064317	22.557	0.044332	11.346	12.772	70.295	14.116	24.811	133.85	4.8461	14.951	0.0035865
-90.500	2.5091	0.57266	6.8335	7.6571	42.106	2821.2	0.00035446	0.78319	0.79486	4.5360	20.737	45.460	592.72	-0.054946	386.30	0.064127	23.046	0.043392	11.349	12.778	70.143	14.138	24.877	133.96	4.8150	14.991	0.0035986
-90.000	2.5677	0.58510	6.9761	7.8189	42.886	2817.7	0.00035490	0.80578	0.81775	4.6597	20.709	45.497	591.26	-0.054675	383.77	0.063936	23.543	0.042476	11.352	12.783	69.992	14.161	24.943	134.07	4.7842	15.031	0.0036108
-89.500	2.6272	0.59775	7.1203	7.9827	43.672	2814.1	0.00035535	0.82840	0.84065	4.7831	20.682	45.535	589.80	-0.054400	381.25	0.063745	24.047	0.041584	11.354	12.789	69.843	14.184	25.010	134.18	4.7537	15.071	0.0036231
-89.000	2.6879	0.61060	7.2662	8.1485	44.466	2810.6	0.00035580	0.85102	0.86358	4.9062	20.655	45.573	588.34	-0.054122	378.76	0.063554	24.560	0.040716	11.357	12.794	69.693	14.208	25.077	134.29	4.7235	15.111	0.0036353
-88.500	2.7495	0.62367	7.4138	8.3162	45.266	2807.0	0.00035625	0.87367	0.88653	5.0291	20.628	45.612	586.88	-0.053841	376.29	0.063363	25.081	0.039870	11.360	12.799	69.545	14.231	25.146	134.39	4.6937	15.152	0.0036477
-88.000	2.8122	0.63695	7.5630	8.4861	46.073	2803.4	0.00035671	0.89633	0.90950	5.1517	20.601	45.652	585.41	-0.053556	373.84	0.063172	25.611	0.039046	11.363	12.805	69.398	14.255	25.215	134.50	4.6641	15.192	0.0036600
-87.500	2.8760	0.65044	7.7139	8.6579	46.887	2799.8	0.00035716	0.91900	0.93249	5.2741	20.574	45.692	583.94	-0.053268	371.40	0.062981	26.148	0.038244	11.366	12.810	69.251	14.278	25.285	134.60	4.6347	15.233	0.0036724
-87.000	2.9408	0.66414	7.8665	8.8318	47.708	2796.2	0.00035762	0.94170	0.95550	5.3963	20.548	45.734	582.47	-0.052976	368.99	0.062790	26.694	0.037462	11.368	12.815	69.105	14.302	25.356	134.70	4.6057	15.274	0.0036849
-86.500	3.0068	0.67807	8.0208	9.0078	48.536	2792.7	0.00035808	0.96440	0.97854	5.5182	20.522	45.776	581.00	-0.052681	366.59	0.062599	27.248	0.036699	11.371	12.820	68.959	14.326	25.427	134.81	4.5770	15.315	0.0036974
-86.000	3.0738	0.69222	8.1769	9.1858	49.371	2789.0	0.00035855	0.98713	1.0016	5.6399	20.495	45.818	579.53	-0.052381	364.21	0.062408	27.811	0.035956	11.374	12.825	68.815	14.350	25.500	134.91	4.5485	15.356	0.0037100
-85.500	3.1419	0.70659	8.3346	9.3659	50.212	2785.4	0.00035901	1.0099	1.0247	5.7613	20.469	45.861	578.05	-0.052079	361.85	0.062217	28.383	0.035232	11.376	12.830	68.671	14.375	25.573	135.01	4.5203	15.397	0.0037226
-85.000	3.2112	0.72118	8.4941	9.5482	51.061	2781.8	0.00035948	1.0326	1.0478	5.8826	20.444	45.905	576.58	-0.051772	359.51	0.062026	28.963	0.034526	11.379	12.834	68.528	14.399	25.647	135.11	4.4924	15.438	0.0037353
-84.500	3.2816	0.73601	8.6554	9.7325	51.917	2778.2	0.00035995	1.0554	1.0709	6.0036	20.418	45.950	575.10	-0.051462	357.19	0.061835	29.553	0.033838	11.381	12.839	68.385	14.424	25.722	135.20	4.4647	15.480	0.0037480
-84.000	3.3531	0.75107	8.8184	9.9190	52.780	2774.6	0.00036042	1.0782	1.0941	6.1244	20.392	45.996	573.62	-0.051147	354.88	0.061645	30.151	0.033166	11.384	12.844	68.244	14.449	25.798	135.30	4.4373	15.521	0.0037608
-83.500	3.4258	0.76636	8.9832	10.108	53.650	2770.9	0.00036089	1.1010	1.1173	6.2450	20.367	46.042	572.14	-0.050829	352.60	0.061454	30.758	0.032512	11.386	12.849	68.102	14.474	25.875	135.39	4.4102	15.563	0.0037736
-83.000	3.4997	0.78189	9.1497	10.298	54.527	2767.3	0.00036137	1.1239	1.1405	6.3653	20.342	46.089	570.65	-0.050507	350.33	0.061263	31.375	0.031873	11.389	12.853	67.962	14.499	25.953	135.49	4.3833	15.605	0.0037865
